deal_id,deal_key,alpha_hat,beta_hat,car_m5_p5,n_est_days,n_event_days,benchmark_security
1,TWX US|2000-01-10,0.000859464548305219,2.274760975204441,-0.20162593842287346,181,11,SPX Index
2,T US|2016-10-22,0.001050972608374726,0.463196162208334,-0.07403582723356801,181,11,SPX Index
3,RTX US|2019-06-09,9.962435039775873e-05,1.004111726355482,-0.06661419674850853,181,11,SPX Index
4,BMY US|2019-01-03,-0.0011808846099597577,0.7648065831867769,-0.07669169557767949,181,11,SPX Index
5,PFE US|1999-11-04,-0.000502300130744131,1.3619178432376349,-0.16304662643967743,181,11,SPX Index
6,ABBV US|2019-06-25,-0.0007525881797371725,0.8765889337686893,-0.07448468336306956,181,11,SPX Index
7,DIS US|2017-12-14,-0.0005379087955489854,0.5334459132954928,0.041057867671602286,181,11,SPX Index
8,T US|2006-03-05,0.0007701372233905879,0.6184571425942179,-0.022380840531085484,181,11,SPX Index
9,XOM US|1998-12-01,0.0005680623307541083,0.4807026954634248,0.0027995436020791502,181,11,SPX Index
10,9876540D US|2015-05-26,0.0003922525394908855,1.0976370001960445,-0.02486191975296521,181,11,SPX Index
11,VZ US|1998-07-28,0.00011005116853306848,0.5488838352810954,0.0211693920358206,181,11,SPX Index
12,C US|1998-04-06,6.252304766596307e-05,1.4741258231249317,0.04792284317078748,181,11,SPX Index
13,CI US|2018-03-08,0.0004216232381150781,1.0709226566144692,-0.17770249908593125,181,11,SPX Index
14,CVS US|2017-12-03,-0.0009984881473390403,0.6432086538550973,0.03214244161590982,181,11,SPX Index
15,TMUS US|2018-04-29,-0.0004246170942564368,0.8271069101647187,-0.10571419402193381,181,11,SPX Index
16,T US|1998-05-11,0.0012728393381534866,0.6180318028230025,-0.10565874052131953,181,11,SPX Index
17,T US|2014-05-18,2.987014190135301e-05,0.6617036405091332,-0.046337601951580744,181,11,SPX Index
18,DD US|2015-12-11,0.0005145187320487465,1.365263195313689,-0.019936341676701504,181,11,SPX Index
19,AGN US|2014-11-17,0.0004855803132060829,1.425969163134181,0.05042200510266152,181,11,SPX Index
20,PFE US|2002-07-15,-0.0001813479435790136,0.6675335216915305,-0.1555245997348066,181,11,SPX Index
21,PFE US|2009-01-26,0.0011258949469759578,0.808328643345596,-0.149865269215965,181,11,SPX Index
22,ET US|2018-08-01,-0.00026191777799268776,0.8841113772422388,0.04842612473261964,181,11,SPX Index
23,BAC US|1998-01-13,-0.0006430491993040098,0.9759379228482074,-0.011996246837654637,181,11,SPX Index
24,PG US|2005-01-28,4.13891258739911e-05,0.7305777702146824,-0.09210234618610638,181,11,SPX Index
25,653707Q US|1999-04-22,0.0016359278584940594,0.9045541843204271,-0.1039755862580691,181,11,SPX Index
26,OXY US|2019-05-09,-0.0011674649577448617,1.071815505881516,-0.03672859169191213,181,11,SPX Index
27,JPM US|2004-01-14,0.00046143287812245594,1.4882610320844436,0.03215463908008417,181,11,SPX Index
28,ETP US|2016-11-21,-3.6776814118932724e-05,1.8880148277357252,-0.22355973540441954,181,11,SPX Index
29,KMI US|2014-08-10,-0.0003094955694873398,0.7129372376557804,0.13408650081614804,181,11,SPX Index
30,,-0.000165347532162629,0.25303435670860736,0.032584920374934934,181,11,SPX Index
31,BAC US|2003-10-27,0.000271850833956705,0.8329220218478982,-0.09108253882942084,181,11,SPX Index
32,MRK US|2009-03-09,0.0010524393315419584,0.8442410565558875,0.06351499119989099,181,11,SPX Index
33,MDT US|2014-06-15,0.0002747266503501859,0.8779329686564528,0.017448623633613148,181,11,SPX Index
34,0772031D US|1999-06-14,0.002862170883534319,1.9093400674772814,-0.21057300212647184,181,11,SPX Index
35,CVX US|2000-10-16,0.00042282802976130625,0.14446652240949162,-0.025005383565909325,181,11,SPX Index
36,SPGI US|2020-11-30,0.0006088011334112735,1.1286332547230915,-0.045956557064754454,181,11,SPX Index
37,0848680D US|2004-12-15,0.0008223513851324638,0.8980060390052738,0.05446410958392925,181,11,SPX Index
38,XOM US|2009-12-14,-0.0012137636195635945,0.7621498249042805,-0.07264726471103873,181,11,SPX Index
39,FIS US|2019-03-18,0.00022838384010044562,0.943277445818686,0.007235084397768474,181,11,SPX Index
40,BAC US|2008-09-15,-0.0004794236153074034,2.0774361240820767,0.12288557203784171,181,11,SPX Index
41,653707Q US|1998-06-24,0.0015020025315979637,0.8802182160264332,-0.15200397733243284,181,11,SPX Index
42,FISV US|2019-01-16,0.0004269309722101667,0.9410904429840892,0.0891388286472584,181,11,SPX Index
43,KMI US|2011-10-16,-0.00037319812054205576,0.8072169772914777,0.06736239230291133,151,11,SPX Index
44,VIAV US|2000-07-10,0.006342439216145245,2.223100919640993,-0.18027736904157643,181,11,SPX Index
45,COP US|2005-12-12,0.0006074549192200782,1.5051293416992269,-0.06320150539209601,181,11,SPX Index
46,WCOEQ US|1997-10-01,0.0005633829388431394,0.8369173701301557,0.005794175819750097,181,11,SPX Index
47,BRK/A US|2009-11-03,-0.0004464960809971018,0.8412422357083501,0.0007685551537520499,181,11,SPX Index
48,BRK/A US|2015-08-10,-0.0002787282241508434,0.8493838885000035,0.0003550904575251937,181,11,SPX Index
49,BAC US|2005-06-30,5.154231914551369e-05,0.9246810456541353,-0.04067272642542519,181,11,SPX Index
50,VIAV US|2000-01-18,0.006587822065652303,1.969529377746383,0.22509460599291686,181,11,SPX Index
51,ESRX US|2011-07-21,7.0230079431325785e-06,0.9995990092344454,0.03138927981321485,181,11,SPX Index
52,PARA US|1999-09-07,0.0007999847344853597,0.7441143036272323,0.04004050545823947,181,11,SPX Index
54,AMD US|2020-10-27,0.0027872584528772695,1.161607712474765,-0.07929759188087451,181,11,SPX Index
55,WPZ US|2014-10-26,0.0005987255855180805,0.6297837195405088,0.004909504456531797,181,11,SPX Index
56,LUMN US|2016-10-31,0.00043206534748741366,1.0214898263778263,-0.190508308792636,181,11,SPX Index
57,JPM US|2000-09-13,-0.00029773119593103694,1.1669602893984403,-0.158536032053206,181,11,SPX Index
58,,-0.0003008919972807114,0.08326801793207955,0.03320432470133357,181,11,SPX Index
59,IBM US|2018-10-28,-0.0005117673058551025,0.9705981153741734,-0.05657645329302875,181,11,SPX Index
60,WFC US|1998-06-08,0.0003459446982363385,1.1619596024753345,-0.11566577940992707,181,11,SPX Index
61,,0.0004067900789906586,-0.001752465847277339,0.017928295637778924,181,11,SPX Index
62,C US|2000-09-06,0.0012217951213498543,1.1280135684291408,-0.04602773836792563,181,11,SPX Index
63,ABT US|2016-04-28,-0.0007698684665083276,1.1147254554549983,-0.09658767914070608,181,11,SPX Index
64,SCHW US|2019-11-25,-0.0012602201978535645,1.4210349896189614,0.11907583321914324,181,11,SPX Index
65,3621240Q US|1998-04-13,0.000538966857005888,1.1033368109651722,-0.07086523070912966,181,11,SPX Index
66,RTX US|2017-09-05,0.00010627326982787038,0.729660618919497,-0.06328831347792173,181,11,SPX Index
67,MPC US|2018-04-30,0.001406632304209745,1.0079929019019935,-0.05814393464379322,181,11,SPX Index
68,ORCL US|2021-12-20,0.0009409109065871781,0.6764869288097571,-0.16737212480885338,181,11,SPX Index
69,CB US|2015-07-01,-0.00010574264604748724,0.8884272891078691,0.01090193778334592,181,11,SPX Index
