deal_key,acq_ticker_bbg,announce_date,acquirer_name,target_name,deal_id,acq_ticker_yf,benchmark
TWX US|2000-01-10,TWX US,2000-01-10,Time Warner Inc,Historic TW Inc,1,TWX,SPX Index
T US|2016-10-22,T US,2016-10-22,AT&T Inc,Time Warner Inc,2,T,SPX Index
RTX US|2019-06-09,RTX US,2019-06-09,RTX Corp,Raytheon Co,3,RTX,SPX Index
BMY US|2019-01-03,BMY US,2019-01-03,Bristol-Myers Squibb Co,Celgene Corp,4,BMY,SPX Index
PFE US|1999-11-04,PFE US,1999-11-04,Pfizer Inc,Warner-Lambert Co LLC,5,PFE,SPX Index
ABBV US|2019-06-25,ABBV US,2019-06-25,AbbVie Inc,Allergan Ltd/Ireland,6,ABBV,SPX Index
DIS US|2017-12-14,DIS US,2017-12-14,Walt Disney Co/The,TFCF Corp,7,DIS,SPX Index
T US|2006-03-05,T US,2006-03-05,AT&T Inc,BellSouth LLC,8,T,SPX Index
XOM US|1998-12-01,XOM US,1998-12-01,Exxon Mobil Corp,Mobil Corp,9,XOM,SPX Index
9876540D US|2015-05-26,9876540D US,2015-05-26,Former Charter Communications Parent Inc,Time Warner Cable Inc,10,9876540D,SPX Index
VZ US|1998-07-28,VZ US,1998-07-28,Verizon Communications Inc,GTE Corp,11,VZ,SPX Index
C US|1998-04-06,C US,1998-04-06,Citigroup Inc,Citicorp/Old,12,C,SPX Index
CI US|2018-03-08,CI US,2018-03-08,Cigna Group/The,Evernorth Health Inc,13,CI,SPX Index
CVS US|2017-12-03,CVS US,2017-12-03,CVS Health Corp,Aetna Inc,14,CVS,SPX Index
TMUS US|2018-04-29,TMUS US,2018-04-29,T-Mobile US Inc,Sprint Corp,15,TMUS,SPX Index
T US|1998-05-11,T US,1998-05-11,AT&T Inc,AT&T Teleholdings Inc,16,T,SPX Index
T US|2014-05-18,T US,2014-05-18,AT&T Inc,DIRECTV,17,T,SPX Index
DD US|2015-12-11,DD US,2015-12-11,DuPont de Nemours Inc,EIDP Inc,18,DD,SPX Index
AGN US|2014-11-17,AGN US,2014-11-17,Allergan Ltd/Ireland,Allergan Inc/United States,19,AGN,SPX Index
PFE US|2002-07-15,PFE US,2002-07-15,Pfizer Inc,Pharmacia LLC,20,PFE,SPX Index
PFE US|2009-01-26,PFE US,2009-01-26,Pfizer Inc,Wyeth LLC,21,PFE,SPX Index
ET US|2018-08-01,ET US,2018-08-01,Energy Transfer LP,Energy Transfer Operating LP,22,ET,SPX Index
BAC US|1998-01-13,BAC US,1998-01-13,Bank of America Corp,BankAmerica Corp/Old,23,BAC,SPX Index
PG US|2005-01-28,PG US,2005-01-28,Procter & Gamble Co/The,Gillette Co/The,24,PG,SPX Index
653707Q US|1999-04-22,653707Q US,1999-04-22,AT&T Corp,Comcast MO Group LLC,25,653707Q,SPX Index
OXY US|2019-05-09,OXY US,2019-05-09,Occidental Petroleum Corp,Anadarko Petroleum Corp,26,OXY,SPX Index
JPM US|2004-01-14,JPM US,2004-01-14,JPMorgan Chase & Co,Bank One Corp,27,JPM,SPX Index
ETP US|2016-11-21,ETP US,2016-11-21,Energy Transfer Operating LP,ETP Legacy LP,28,ETP,SPX Index
KMI US|2014-08-10,KMI US,2014-08-10,Kinder Morgan Inc,Kinder Morgan Energy Partners LP,29,KMI,SPX Index
,,2007-02-26,"Quintana Capital Group LP (Fund: Quintana Energy Partners LP),KKR Group Co Inc (Fund: KKR 2006 Fund LP),Goldman Sachs Capital Partners (Fund: GS Capital Partners VI LP),Energy Capital Partners LLC (Fund: Energy Capital Partners I LP),TPG Capital LP/US (Fund: TPG Partners IV LP),AXA SA (Fund: ...",Energy Future Holdings Corp,30,nan,SPX Index
BAC US|2003-10-27,BAC US,2003-10-27,Bank of America Corp,FleetBoston Financial Corp,31,BAC,SPX Index
MRK US|2009-03-09,MRK US,2009-03-09,Merck & Co Inc,Schering-Plough Corp/Pre-merger with Merck & Co Inc,32,MRK,SPX Index
MDT US|2014-06-15,MDT US,2014-06-15,Medtronic PLC,Covidien Ltd,33,MDT,SPX Index
0772031D US|1999-06-14,0772031D US,1999-06-14,Qwest Communications International Inc,US West Inc,34,0772031D,SPX Index
CVX US|2000-10-16,CVX US,2000-10-16,Chevron Corp,Texaco Inc,35,CVX,SPX Index
SPGI US|2020-11-30,SPGI US,2020-11-30,S&P Global Inc,IHS Markit Ltd,36,SPGI,SPX Index
0848680D US|2004-12-15,0848680D US,2004-12-15,Sprint Communications Inc,Nextel Communications Inc,37,0848680D,SPX Index
XOM US|2009-12-14,XOM US,2009-12-14,Exxon Mobil Corp,XTO Energy Inc,38,XOM,SPX Index
