Announce Date,Target Name,Acquirer Name,Announced Total Value (mil.),Payment Type,Payment_Cash,Payment_Stock,Payment_Debt,TV/EBITDA,Target Ticker,Acquirer Ticker,Currency of Deal,Current/Completed Total Value,Deal Attributes,Current Target SIC Code,Current Acquirer SIC Code,Target Total Assets,Acquirer Total Assets,Acquirer Current Market Cap,Acquirer Price Earnings Ratio (P/E),Target Trailg 12Mth Dividend per Shar,Acquirer Trailg 12Mth Dividend per Shar,Target Dividend Payout Ratio,Acquirer Dividend Payout Ratio,Target Market Value of Equity,Acquirer Market Value of Equity,Acquirer Total Return Year To Date Pct,Target Trailg 12Mth Cashflow Net Inc,Acquirer Trailg 12Mth Cashflow Net Inc,Target R & D Expenditures,Acquirer R & D Expenditures,Target Inventories,Acquirer Inventories,Acquirer - Price Change 1 Year Percent (CHG_PCT_1Y),Acquirer - Price Change 5 Day Percent (CHG_PCT_5D),Acquirer Trailing 12 Mth COGS,Target Trailing 12 Mth COGS,Acquirer Trailing 12 month EBITDA per Share,Target Trailing 12 month EBITDA per Share,Target Sales/Revenue/Turnover,Acquirer Sales/Revenue/Turnover,Target Return on Common Equity,Acquirer Return on Common Equity,Target EBITDA(Earn Bef Int Dep & Amo),Acquirer EBITDA(Earn Bef Int Dep & Amo),Target Operating Margin,Acquirer Operating Margin,Target Total Debt to Total Assets,Acquirer Total Debt to Total Assets,Target Total Debt to Total Equity,Acquirer Total Debt to Total Equity,Target EBIT to Total Interest Expense,Acquirer EBIT to Total Interest Expense,Target Current Ratio,Acquirer Current Ratio,Target Financial Leverage,Acquirer Financial Leverage,Target GeoGrwth - Cash Flow per Share,Acquirer GeoGrwth - Cash Flow per Share,Target Net Income/Net Profit (Losses),Acquirer Net Income/Net Profit (Losses),Target Net Revenue Growth,Acquirer Net Revenue Growth,Target Asset Growth,Acquirer Asset Growth,Target Geometric Growth-EBITDA Tot Mkt VaL,Acquirer Geometric Growth-EBITDA Tot Mkt VaL
2000-01-10,Historic TW Inc,Time Warner Inc,186235.80,Stock,0,1,0,30.48,253647Q US,TWX US,USD,114018.40,Company Takeover,4841,,,69209,,,,2.0125,,30.1696,95347.1,73961.6,,,5466,,,,2401,,,18031,,10.7333,6.6944,,31271,9.64101,19.7827,,8614,,25.327,,34.3582,,83.7997,,6.52389,,1.08113,,2.5645,,12.7084,,5247,,,,4.91617,,0.668858
2016-10-22,Time Warner Inc,AT&T Inc,109885.70,Cash and Stock,1,1,0,13.87,TWX US,T US,USD,101717.86,Company Takeover,,4813,69209,420198,198046,14.1616,2.0125,1.11,30.1696,37.3704,73961.6,174812,15.4849,5466,21953,,843,2401,2420,2.05628,-0.156614,50820,18031,6.28344,10.7333,31271,125648,19.7827,20.3709,8614,50975,25.327,19.2299,34.3582,37.7498,83.7997,123.45,6.52389,3.46707,1.08113,0.906136,2.5645,3.79234,12.7084,-1.38906,5247,21953,,,4.91617,6.43448,0.668858,-7.50962
2019-06-09,Raytheon Co,RTX Corp,90016.87,Stock,0,1,0,17.01,RTN US,RTX US,USD,60018.62,Company Takeover,3812,3724,34566,171079,278854,33.1201,3.77,2.67,31.5859,53.0897,61087.7,246175,14.23,3343,6732,732,2807,671,13364,55.9254,5.31089,70814,21413,10.1949,20.0699,29176,88603,28.2169,10.7368,5618,14173,16.3628,10.4963,16.4294,23.3553,46.3403,59.5132,26.5222,5.06812,1.33613,1.02633,2.83756,2.66298,17.9789,24.2913,3343,6732,,,5.80349,5.04602,2.25806,-21.4738
2019-01-03,Celgene Corp,Bristol-Myers Squibb Co,88848.19,Cash and Stock,1,1,0,15.25,CELG US,BMY US,USD,92171.38,Company Takeover,2834,2834,35480,90038,124785,9.98937,,2.48,,71.5101,70632.1,108581,14.9934,5880,7054,5673,9951,458,2690,2.25489,-0.633117,13936,627,6.88765,12.2252,15281,48194,69.3928,40.5321,5826,14246,33.9703,20.7536,57.1308,52.3546,329.005,254.737,7.0054,5.28926,2.2349,1.25507,5.01613,5.24725,21.8313,2.26219,4046,7054,,,17.7134,-2.76989,-19.1183,-40.0255
1999-11-04,Warner-Lambert Co LLC,Pfizer Inc,87319.41,Stock,0,1,0,31.11,WLA US,PFE US,USD,116229.80,Company Takeover,2834,2834,11441.5,208160,151093,9.57198,0.84,1.72,38.7607,126.517,85694,141581,8.59776,-47.1001,7771,1259,10437,979.2,10654,1.12381,-2.3213,16067,3041.7,3.6666,3.6985,12928.9,62579,-1.20825,8.89632,3032.3,21307,20.6475,22.7616,13.5175,32.3866,30.3356,77.6906,15.9468,5.0208,1.54266,1.15991,2.33462,2.41332,28.8844,-4.50128,1733.2,7771,,,20.1826,-2.45365,18.2478,-12.309
2019-06-25,Allergan Ltd/Ireland,AbbVie Inc,83791.24,Cash and Stock,1,1,0,,AGN US,ABBV US,USD,85542.34,Company Takeover,2834,2834,94699.1,133960,411329,25.5853,2.96,6.65,,281.028,58389.9,403942,2.27845,-2485,4226,1812,9096,1133.1,4951,9.83545,1.48836,18204,2618.4,13.1163,8.38153,16088.9,61160,-4.15761,,1743.3,23427,-27.6296,24.6485,24.5192,51.0443,39.8985,,-5.67727,5.21085,1.00506,0.671348,1.59373,4893.11,16.5985,0.388975,-5271,4226,,,-6.96401,-0.88857,-31.7541,5.28808
2017-12-14,TFCF Corp,Walt Disney Co/The,83343.34,Cash or Stock,1,1,0,11.95,TFCFA US,DIS US,USD,83343.34,Company Takeover,4841,7990,53831,197514,182095,20.2748,0.72,,14.8954,14.5437,89144.9,204749,-9.29067,13878,12252,,,3669,2134,-8.44933,-2.60255,60029,20057,10.5577,3.88882,30400,94425,55.078,11.6459,6960,19931,20.7467,14.6487,36.2672,22.9974,90.5435,39.632,4.89674,7.63355,2.3451,0.710351,2.96727,1.86989,12.1832,18.9501,4464,12404,,,5.81656,0.659977,1.05529,-28.3024
2006-03-05,BellSouth LLC,AT&T Inc,83105.45,Stock,0,1,0,9.66,BLS US,T US,USD,102398.00,Company Takeover,4813,4813,,420198,198046,14.1624,,1.11,,37.3704,,174812,15.4849,,21953,,843,,2420,2.05628,-0.15873,50820,,6.28344,,,125648,,20.3709,,50975,,19.2299,,37.7498,,123.45,,3.46707,,0.906136,,3.79234,,-1.38906,,21953,,,,6.43448,,-7.50962
1998-12-01,Mobil Corp,Exxon Mobil Corp,80338.03,Stock,0,1,0,13.45,3891289Q US,XOM US,USD,87749.48,Company Takeover,2911,2911,,448980,635306,22.6525,,4,,59.7386,78287.6,502901,27.1723,,28844,,1228,,26302,41.328,2.16401,277832,,13.8195,6.50553,,323905,8.99714,11.0283,,61981,,10.3543,,11.2205,,18.8946,,55.6186,,1.1528,,1.72524,,28.5842,,28844,,,,-0.991234,,-11.4469
2015-05-26,Time Warner Cable Inc,Former Charter Communications Parent Inc,79249.70,Cash and Stock,1,1,0,9.82,TWC US,9876540D US,USD,54271.77,Company Takeover,4841,4841,49277,,,,3,,59.2329,,58234.9,,,1880,,,,,,,,,5947,,28.5464,23697,,21.3751,,7935,,17.8883,,45.6643,,250.05,,3.02354,,0.622689,,5.72742,,9.45024,,1844,,,,2.37249,,7.11081,
