Announce Date,Acquirer Ticker,Target Ticker,Deal Description
2000-01-10,TWX US,253647Q US,America Online Inc and Time Warner Inc announced a merger of equals to create the world's first fully integrated media and communications company on 01/10/2000. The new company was named AOL Time Warner Inc. This was the largest deal at the time of announcement and remained the largest deal f...
2016-10-22,T US,TWX US,"On 10/22/2016, AT&T Inc announced the acquisition of Time Warner for USD 53.75 per share in cash and USD 53.75 per share in AT&T Inc's stock for a total value USD 107,130.80M. At the time of the announcement, this is AT&T's largest acquisition on record. On 10/21/2016, AT&T Inc was close to m..."
2019-06-09,RTX US,RTN US,"On 06/09/2019, Raytheon & United Technologies announced that United Technologies Corp will buy Raytheon in all stock deal. On 06/08/2019, WSJ reported that Raytheon, United Technologies deal could be announced in coming days, citing a source. The transaction was completed on 04/03/2020."
2019-01-03,BMY US,CELG US,Bristol-Myers Squibb Co acquired Celgene Corp for USD 88848.19M. The transaction was announced on 1/3/2019 and completed on 11/21/2019.
1999-11-04,PFE US,WLA US,Pfizer Inc acquired Warner-Lambert Co LLC for USD 87319.41M. The transaction was announced on 11/4/1999 and completed on 6/20/2000.
2019-06-25,ABBV US,AGN US,AbbVie Inc acquired Allergan Ltd/Ireland for USD 83791.24M. The transaction was announced on 6/25/2019 and completed on 5/11/2020.
2017-12-14,DIS US,TFCFA US,"On 03/19/2019, Disney announced cash terms of USD 51.57 per share and stock terms of 0.4517 per share. On 01/31/2019, Cade was studying the transaction with no decision. On 06/20/2018, Twenty-First Century Fox announced that it had entered into an amendment with the Walt Disney Co for a deal ..."
2006-03-05,T US,BLS US,AT&T Inc acquired BellSouth LLC for USD 83105.45M. The transaction was announced on 3/5/2006 and completed on 1/3/2007.
1998-12-01,XOM US,3891289Q US,Exxon Mobil Corp acquired Mobil Corp for USD 80338.03M. The transaction was announced on 12/1/1998 and completed on 12/1/1999.
2015-05-26,9876540D US,TWC US,"Time Warner Cable Inc and former Charter Communications Inc merged to form a new company, Charter Communications Inc on 05/18/2016. Charter Communications Inc announced on 05/26/2015 that it agreed to acquire Time Warner Cable Inc. This cash & stock deal has a transaction value of USD 79,249...."
1998-07-28,VZ US,571300Q US,Verizon Communications Inc acquired GTE Corp for USD 71126.72M. The transaction was announced on 7/28/1998 and completed on 7/3/2000.
1998-04-06,C US,2200Q US,Citigroup Inc acquired Citicorp/Old for USD 69891.80M. The transaction was announced on 4/6/1998 and completed on 10/8/1998.
2018-03-08,CI US,ESRX US,"On 03/08/2018 Cigna Corp announced a deal to acquire Express Scripts Holding Co.  At the time of announcement, this was Cigna's largest acquisition on record. The transaction was completed on 12/21/2018."
2017-12-03,CVS US,AET US,"On 12/03/2017, CVS Health Corp announced that it will acquire Aetna Inc. CVS will pay USD 145.00 in cash and 0.8378 CVS Health shares for each Aetna share. The deal is among the biggest health-care mergers of the past decade. The transaction was completed on 11/29/2018. On 10/26/2017, it was ..."
2018-04-29,TMUS US,1897377D US,SoftBank Group Corp sold Sprint Corp to T-Mobile US Inc for USD 68014.33M. The transaction was announced on 4/29/2018 and completed on 4/1/2020.
1998-05-11,T US,3054Q US,SBC Teleholdings Inc acquired Ameritech for USD 68219.41M. The transaction was announced on 05/11/1998 and completed on 10/11/1999.
2014-05-18,T US,1448062D US,"On 05/18/2014, AT&T and DIRECTV announced that they have entered into a definitive agreement under which AT&T will acquire DIRECTV for USD 66,668.80M. The combined company will be a content distribution leader across mobile, video and broadband platforms. The transaction is expected to close ..."
2015-12-11,DD US,1715651D US,"On 12/11/2015, DuPont and Dow Chemical Co announced the decision to approve an all-stock merger of equals. The combined company will be named Diamond-Orion Holdco Inc and renamed to DowDuPont. The deal was completed on 09/01/2017. The companies intend to subsequently pursue a separation of Do..."
2014-11-17,AGN US,1284849D US,Actavis plc announced the acquisition of Allergan Inc for cash and stock on 11/17/2014 with a deal completion of 3/17/2015. Allergan Inc was acquired for USD 129.22 per share and .3683 Actavis plc shares. This deal will create one of the top ten global pharmaceutical companies by revenue. On ...
2002-07-15,PFE US,748957Q US,Pfizer Inc acquired Pharmacia LLC for USD 64263.86M. The transaction was announced on 7/15/2002 and completed on 4/16/2003.
2009-01-26,PFE US,WYE US,"Pfizer Inc acquired Wyeth LLC for USD 64,234.03M. The transaction was announced on 01/26/2009 and completed on 10/16/2009. The combined company creates one of the most diversified companies in the global health care industry."
2018-08-01,ET US,ETP US,"Energy Transfer Equity LP announced the acquisition of Energy Transfer Partners LP for USD 59,299.56M. The transaction was announced on 08/01/2018 and completed on 10/19/2018. At the time of announcement, this is the largest transaction in pipelines industry on record."
1998-01-13,BAC US,2196Q US,Bank of America Corp acquired BankAmerica Corp/Old for USD 57466.00M. The transaction was announced on 1/13/1998 and completed on 10/1/1998.
2005-01-28,PG US,1028411Q US,Procter & Gamble Co/The acquired Gillette Co/The for USD 57278.56M. The transaction was announced on 1/28/2005 and completed on 10/3/2005.
1999-04-22,653707Q US,UMGI US,AT&T Corp acquired Comcast MO Group LLC for USD 55421.99M. The transaction was announced on 4/22/1999 and completed on 6/15/2000.
2019-05-09,OXY US,APC US,"The transaction was completed on 08/09/2019. On 05/09/2019 Occidental announced the acquisition of Anadarko for USD 55,150.57M. On 05/09/2019, it was reported that Anadarko Petroleum Corp is looking for a revised takeover offer from Chevron Corp that matches the proposal from Occidental Petro..."
2004-01-14,JPM US,3621240Q US,JPMorgan Chase & Co acquired Bank One Corp for USD 55065.91M. The transaction was announced on 1/14/2004 and completed on 7/1/2004.
2016-11-21,ETP US,9876456D US,"On 11/21/2016, Sunoco Logistics Partners LP announced the acquisition of Energy Transfer Partners LP in a unit transaction, valuing the company at USD 51,381.62M. Energy Transfer Partners LP holders will be receive 1.5 shares of Sunoco Logistics Partners LP, per 1 share they hold. The deal is..."
2014-08-10,KMI US,KMP US,"On 08/10/2014, Kinder Morgan Inc announced the acquisition of Kinder Morgan Energy Partners LP for USD 48,881.88M. The deal was completed on 11/28/2014. Kinder Morgan Inc is also to buy Kinder Morgan Management LLC and El Paso Pipeline Partners LP. This combined entity will be the largest ene..."
2007-02-26,,TXU US,"A consortium led by Kohlberg Kravis Roberts & Co and TPG Capital Management LP acquired TXU Corporation for USD 48,405.15M. The transaction was announced on 02/26/2007 and completed on 10/11/2007. As of completion date, this is the largest leveraged buyout in history."
2003-10-27,BAC US,FBF US,Bank of America Corp acquired FleetBoston Financial Corp for USD 48099.66M. The transaction was announced on 10/27/2003 and completed on 4/1/2004.
2009-03-09,MRK US,SGP US,"Merck & Co Inc acquired Schering-Plough Corp/Pre-merger with Merck & Co Inc for USD 47,147.32M. The transaction was announced on 03/09/2009 and completed on 11/04/2009. As of the annoucement date, this transaction makes Merck & Co Inc the second largest drugmaker in the world."
2014-06-15,MDT US,COV US,"Medtronic Inc announced the acquisition of Covidien PLC for USD 46,235.92M. The transaction was announced on 06/15/2014 and was completed on 01/27/2015, after being approved by the Irish High Court. At the time of announcement, the deal is the largest ever for Medtronic. The new entity will b..."
1999-06-14,0772031D US,USW US,Qwest Communications International Inc acquired US West Inc for USD 44747.97M. The transaction was announced on 6/14/1999 and completed on 6/30/2000.
2000-10-16,CVX US,677004Q US,Chevron Corp acquired Texaco Inc for USD 43623.25M. The transaction was announced on 10/16/2000 and completed on 10/10/2001.
2020-11-30,SPGI US,2499073D US,S&P Global Inc acquired IHS Markit Ltd for USD 43598.58M. The transaction was announced on 11/30/2020 and completed on 2/28/2022.
2004-12-15,0848680D US,NXTL US,Sprint Communications Inc acquired Nextel Communications Inc for USD 41412.59M. The transaction was announced on 12/15/2004 and completed on 8/15/2005.
2009-12-14,XOM US,XTO US,"Exxon Mobil Corp acquired XTO Energy Inc for USD 41,366.82M. The transaction was announced on 12/14/2009 and completed on 06/28/2010. This is the largest acquisition by Exxon since the Mobil Corp acquisition in 1999."
2019-03-18,FIS US,WP US,Fidelity National Information Services Inc acquired Worldpay Inc for USD 41054.83M. The transaction was announced on 3/18/2019 and completed on 7/31/2019.
2008-09-15,BAC US,MER US,Bank of America Corp acquired Merrill Lynch & Co Inc for USD 40452.30M. The transaction was announced on 09/15/2008 and completed on 01/02/2009. This is the largest deal announced year to date in the financials sector and the third largest for 2008.
1998-06-24,653707Q US,TCOMA US,AT&T Corp acquired Comcast Cable Holdings LLC for USD 40135.75M. The transaction was announced on 6/24/1998 and completed on 3/10/1999.
2019-01-16,FISV US,FDC US,Fiserv Inc acquired First Data Corp for USD 38170.65M. The transaction was announced on 1/16/2019 and completed on 7/29/2019.
2011-10-16,KMI US,1996074D US,"Kinder Morgan Inc/DE acquired El Paso LLC for USD 37,572.46M. The transaction was announced on 10/16/2011 and completed on 05/25/2012. As of completion, this is the largest deal in the pipeline industry. The transaction will create the fourth largest energy company in North America with an en..."
2000-07-10,VIAV US,SDLI US,Viavi Solutions Inc acquired SDL Inc for USD 36203.48M. The transaction was announced on 7/10/2000 and completed on 2/14/2001.
2005-12-12,COP US,929530Q US,ConocoPhillips acquired Burlington Resources Inc for USD 36089.18M. The transaction was announced on 12/12/2005 and completed on 4/3/2006.
1997-10-01,WCOEQ US,0598884D US,WorldCom Inc - WorldCom Group acquired MCI Communications Corp for USD 36071.34M. The transaction was announced on 10/1/1997 and completed on 9/15/1998.
2009-11-03,BRK/A US,BNI US,Berkshire Hathaway Inc acquired Burlington Northern Santa Fe LLC for USD 35767.00M. The transaction was announced on 11/03/2009 and completed on 02/16/2010. This is the biggest acquisition by Berkshire Hathaway as of the announcement date.
2015-08-10,BRK/A US,PCP US,"On 08/10/2015, Berkshire Hathaway Inc announced the acquisition of Precision Castparts Corp for USD 235.00 per share, for a total valuation of USD 35,657.61M. The transaction was completed on 02/01/2016. Previously, on 08/08/2015, It was reported by the Wall Street Journal that Berkshire Hath..."
2005-06-30,BAC US,KRB US,Bank of America Corp acquired MBNA Corp for USD 35365.99M. The transaction was announced on 6/30/2005 and completed on 1/3/2006.
2000-01-18,VIAV US,0623818D US,Viavi Solutions Inc acquired E-Tek Dynamics Inc for USD 35161.70M. The transaction was announced on 1/18/2000 and completed on 7/3/2000.
2011-07-21,ESRX US,MHS US,"Express Scripts Holding Co acquired Medco Health Solutions Inc for USD 34,321.55M. The transaction was announced on 07/21/2011 and completed on 04/02/2012. The acquisition will help lower costs of prescription medicines for American families and provide benefits to businesses in a globally co..."
1999-09-07,PARA US,667517Q US,Paramount Global acquired CBS Corp/Old for USD 34104.03M. The transaction was announced on 9/7/1999 and completed on 5/4/2000.
2006-11-20,BX US,EOP US,Blackstone Inc acquired Equity Office Properties Trust for USD 34102.30M. The transaction was announced on 11/20/2006 and completed on 2/12/2007.
2020-10-27,AMD US,XLNX US,Advanced Micro Devices Inc acquired Xilinx Inc for USD 34092.30M. The transaction was announced on 10/27/2020 and completed on 2/15/2022.
2014-10-26,WPZ US,9123456D US,"On 10/26/2014, Williams Co., Williams Partners and Access agreed that WP and Access would merge for USD 33,875.89M by WP acquiring Access, whereupon Williams Co, which is the general partner of both and would be the majority owner of the merged partnership, would acquire 100% of the merged bu..."
2016-10-31,LUMN US,LVLT US,"On 10/31/2016, CenturyLink Inc announced the acquisition of Level 3 Communication Inc for USD 26.50 per share in cash and 1.4286 per share in CenturyLink's stock for a total value of USD 33,500.20M. At announcement, this was the largest acquisition for CenturyLink. The transaction was complet..."
2000-09-13,JPM US,3277Q US,JPMorgan Chase & Co acquired JP Morgan & Co Inc for USD 33469.53M. The transaction was announced on 9/13/2000 and completed on 1/2/2001.
2006-07-24,,3605818Q US,"A consortium led by Bain Capital acquired HCA Inc for USD 32,193.46M. The transaction was announced on 07/24/2006 and completed on 11/20/2006. As of announcement this is the largest PE buyout on record."
2018-10-28,IBM US,RHT US,"International Business Machines Corp announced the acquisition of Red Hat Inc for USD 31,802.52M. The transaction was announced on 10/28/2018. At the time of the announcement, this is IBM's largest acquisition on record."
1998-06-08,WFC US,2223Q US,Wells Fargo & Co acquired Wells Fargo & Co/Old for USD 30730.64M. The transaction was announced on 6/8/1998 and completed on 11/3/1998.
