deal_id,acquirer_name,acquirer_ticker,role,entity_ticker,entity_name,entity_bbg_id,revenue_pct,cost_pct,cost_type,relationship_amount,relationship_year
2,AT&T Inc,T US,supplier,AAPL US Equity,Apple Inc,101695.0,1.281251,9.928999,COGS,1221788160.0,2025.0
2,AT&T Inc,T US,supplier,005930 KS Equity,Samsung Electronics Co Ltd,117929.0,2.041364,9.039375,COGS,1112317696.0,2025.0
2,AT&T Inc,T US,supplier,ERICB SS Equity,Telefonaktiebolaget LM Ericsson,115705.0,13.01698,13.663121,CAPEX,769456564.03,2025.0
2,AT&T Inc,T US,supplier,AMT US Equity,American Tower Corp,210870.0,17.0,3.560767,COGS,452395488.0,2025.0
2,AT&T Inc,T US,supplier,DY US Equity,Dycom Industries Inc,100487.0,24.9,7.405361,CAPEX,361900000.0,2026.0
2,AT&T Inc,T US,customer,IBM US Equity,International Business Machines Corp,100801.0,0.864856,4.063096,COGS,264507552.0,2025.0
2,AT&T Inc,T US,customer,SNX US Equity,TD SYNNEX Corp,1499717.0,0.112041,0.211726,COGS,34266560.0,2025.0
2,AT&T Inc,T US,customer,SCSC US Equity,ScanSource Inc,136424.0,0.036669,1.85477,COGS,11214774.0,2025.0
2,AT&T Inc,T US,customer,AVT US Equity,Avnet Inc,100142.0,0.013672,0.073933,COGS,4181589.0,2026.0
2,AT&T Inc,T US,customer,8 HK Equity,PCCW Ltd,153672.0,0.007048,0.376319,COGS,2163480.08,2024.0
3,RTX Corp,RTX US,supplier,MTX GR Equity,MTU Aero Engines AG,8445936.0,24.749371,3.402061,COGS,585090912.54,2025.0
3,RTX Corp,RTX US,supplier,MRO LN Equity,Melrose Industries PLC,47700205.0,24.639126,1.554588,COGS,275439546.59,2025.0
3,RTX Corp,RTX US,supplier,HWM US Equity,Howmet Aerospace Inc,59099358.0,11.0,1.281837,COGS,226930000.0,2025.0
3,RTX Corp,RTX US,supplier,BRK/A US Equity,Berkshire Hathaway Inc,100193.0,0.199261,1.145175,COGS,197027360.0,2025.0
3,RTX Corp,RTX US,supplier,PH US Equity,Parker-Hannifin Corp,101149.0,3.715757,1.143508,COGS,185133936.0,2025.0
3,RTX Corp,RTX US,customer,3352Z US Equity,United States of America,218252.0,37.559677,-2.4245362661989844e-14,,8319750000.0,2025.0
3,RTX Corp,RTX US,customer,AIR FP Equity,Airbus SE,876285.0,14.0,18.408752,COGS,3101104896.0,2025.0
3,RTX Corp,RTX US,customer,BA US Equity,Boeing Co/The,100211.0,5.356501,5.69059,COGS,1155986432.0,2025.0
3,RTX Corp,RTX US,customer,LMT US Equity,Lockheed Martin Corp,156923.0,2.718532,3.380504,COGS,586686400.0,2025.0
3,RTX Corp,RTX US,customer,AAL US Equity,American Airlines Group Inc,100090.0,1.266109,2.061092,COGS,273238976.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,supplier,PFE US Equity,Pfizer Inc,101166.0,11.153901,50.086109,COGS,1745000000.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,supplier,4528 JP Equity,Ono Pharmaceutical Co Ltd,114514.0,25.6,5.800168,COGS,204217368.45,2025.0
4,Bristol-Myers Squibb Co,BMY US,supplier,688506 CH Equity,Sichuan Biokin Pharmaceutical Co Ltd,41186103.0,91.610001,5.303932,COGS,185227362.65,2024.0
4,Bristol-Myers Squibb Co,BMY US,supplier,MRK US Equity,Merck & Co Inc,100978.0,0.787219,3.959243,COGS,136000000.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,supplier,JNJ US Equity,Johnson & Johnson,100828.0,0.294077,2.78364,R&D,69250000.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,customer,MCK US Equity,McKesson Corp,154936.0,36.0,4.520389,COGS,4337460224.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,customer,COR US Equity,Cencora Inc,156969.0,29.0,4.454085,COGS,3494064896.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,customer,CAH US Equity,Cardinal Health Inc,102782.0,22.0,4.499677,COGS,2650670080.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,customer,CI US Equity,Cigna Group/The,60401289.0,2.373398,0.477231,COGS,291192192.0,2025.0
4,Bristol-Myers Squibb Co,BMY US,customer,UNH US Equity,UnitedHealth Group Inc,101548.0,1.023608,0.137097,COGS,125586464.0,2025.0
5,Pfizer Inc,PFE US,supplier,BNTX US Equity,BioNTech SE,65839686.0,73.0,12.187705,COGS,544064265.0,2024.0
5,Pfizer Inc,PFE US,supplier,ORCL US Equity,Oracle Corp,101752.0,0.229,1.280066,COGS,36417872.0,2025.0
5,Pfizer Inc,PFE US,supplier,DIM FP Equity,Sartorius Stedim Biotech,153809.0,3.723135,0.805182,COGS,33600181.1,2025.0
5,Pfizer Inc,PFE US,supplier,BMY US Equity,Bristol-Myers Squibb Co,100225.0,0.238619,0.715753,COGS,28750000.0,2025.0
5,Pfizer Inc,PFE US,supplier,5201 JP Equity,AGC Inc,113332.0,0.827922,0.751514,COGS,28398061.84,2025.0
5,Pfizer Inc,PFE US,customer,MCK US Equity,McKesson Corp,154936.0,25.0,4.076139,COGS,3911187456.0,2025.0
5,Pfizer Inc,PFE US,customer,COR US Equity,Cencora Inc,156969.0,16.0,3.190922,COGS,2503160064.0,2025.0
5,Pfizer Inc,PFE US,customer,CAH US Equity,Cardinal Health Inc,102782.0,13.0,3.452532,COGS,2033817472.0,2025.0
5,Pfizer Inc,PFE US,customer,BMY US Equity,Bristol-Myers Squibb Co,100225.0,11.153901,50.086109,COGS,1745000000.0,2025.0
5,Pfizer Inc,PFE US,customer,3352Z US Equity,United States of America,218252.0,6.0,-2.4245362661989844e-14,,954404992.0,2024.0
6,AbbVie Inc,ABBV US,supplier,ROG SW Equity,Roche Holding AG,115785.0,1.433017,5.844869,COGS,265999984.0,2025.0
6,AbbVie Inc,ABBV US,supplier,JNJ US Equity,Johnson & Johnson,100828.0,1.012814,5.240606,COGS,238499984.0,2025.0
6,AbbVie Inc,ABBV US,supplier,RICHT HB Equity,Richter Gedeon Nyrt,159134.0,26.6,3.649882,COGS,156371186.99,2024.0
6,AbbVie Inc,ABBV US,supplier,LONN SW Equity,Lonza Group AG,156276.0,4.784275,1.852564,COGS,98276993.63,2025.0
6,AbbVie Inc,ABBV US,supplier,IRWD US Equity,Ironwood Pharmaceuticals Inc,1479519.0,99.0,2.058069,COGS,86973976.0,2024.0
6,AbbVie Inc,ABBV US,customer,MCK US Equity,McKesson Corp,154936.0,30.713249,6.894335,COGS,5103927808.0,2025.0
6,AbbVie Inc,ABBV US,customer,COR US Equity,Cencora Inc,156969.0,22.158524,4.444009,COGS,3682303488.0,2025.0
6,AbbVie Inc,ABBV US,customer,CAH US Equity,Cardinal Health Inc,102782.0,18.560427,4.87802,COGS,3084371712.0,2025.0
6,AbbVie Inc,ABBV US,customer,JNJ US Equity,Johnson & Johnson,100828.0,1.341945,2.79875,COGS,223004416.0,2025.0
6,AbbVie Inc,ABBV US,customer,IRWD US Equity,Ironwood Pharmaceuticals Inc,1479519.0,0.013136,6.641477,R&D,1850000.0,2024.0
7,Walt Disney Co/The,DIS US,supplier,GTN US Equity,Gray Media Inc,104103.0,11.0,2.520055,SGA,100210000.0,2024.0
7,Walt Disney Co/The,DIS US,supplier,MSFT US Equity,Microsoft Corp,101743.0,0.136354,0.64509,COGS,95537792.0,2025.0
7,Walt Disney Co/The,DIS US,supplier,GLOB US Equity,Globant SA,33838804.0,8.7,0.359152,COGS,52541236.0,2024.0
7,Walt Disney Co/The,DIS US,supplier,ROKU US Equity,Roku Inc,17257533.0,2.055525,0.157154,COGS,22837664.0,2025.0
7,Walt Disney Co/The,DIS US,supplier,PPG US Equity,PPG Industries Inc,101204.0,0.296861,0.069705,COGS,11619140.0,2025.0
7,Walt Disney Co/The,DIS US,customer,AD NA Equity,Koninklijke Ahold Delhaize NV,115643.0,0.105923,0.130258,COGS,25058004.83,2025.0
7,Walt Disney Co/The,DIS US,customer,CA FP Equity,Carrefour SA,115268.0,0.095787,0.115719,COGS,22674200.56,2025.0
7,Walt Disney Co/The,DIS US,customer,KGF LN Equity,Kingfisher PLC,111827.0,0.020863,0.187834,COGS,5247564.77,2025.0
7,Walt Disney Co/The,DIS US,customer,DEN IN Equity,DEN Networks Ltd,16852453.0,0.00957,7.616047,COGS,2250536.72,2025.0
7,Walt Disney Co/The,DIS US,customer,CTRN US Equity,Citi Trends Inc,9515683.0,0.005338,1.034306,COGS,1261005.0,2026.0
8,AT&T Inc,T US,supplier,AAPL US Equity,Apple Inc,101695.0,1.281251,9.928999,COGS,1221788160.0,2025.0
8,AT&T Inc,T US,supplier,005930 KS Equity,Samsung Electronics Co Ltd,117929.0,2.041364,9.039375,COGS,1112317696.0,2025.0
8,AT&T Inc,T US,supplier,ERICB SS Equity,Telefonaktiebolaget LM Ericsson,115705.0,13.01698,13.663121,CAPEX,769456564.03,2025.0
8,AT&T Inc,T US,supplier,AMT US Equity,American Tower Corp,210870.0,17.0,3.560767,COGS,452395488.0,2025.0
